year,importer1,importer2,flow1,flow2
2014,China,United Kingdom,386507468,180352824.6
2014,China,Thailand,418677230.6,573158373.8
2014,China,Argentina,25544331.3,133192876.6
2014,China,Rest of the World,19243070986,7333920830
2014,United States of America,Germany,745582142.1,1183522381
2014,United States of America,France,411255707.6,3892639040
2014,United States of America,Netherlands,686523979.1,1283144167
2014,United States of America,Brazil,522161446.8,1898122729
2014,United States of America,Italy,305793226.1,2975582073
2014,United States of America,China,2749238770,2790954364
2014,United States of America,United Kingdom,1123078391,2266180308
2014,United States of America,Thailand,688562149.1,2304824516
2014,United States of America,Argentina,66699274.55,623405395.7
2014,United States of America,Rest of the World,38378034800,35094336187
2014,Germany,France,4413096342,4142879669
2014,Germany,Netherlands,4572887646,6183032009
2014,Germany,Brazil,97307755.07,1312070631
2014,Germany,Italy,3232151392,4068487278
2014,Germany,China,452041903.6,552172993.4
2014,Germany,United Kingdom,3870024160,1094827624
2014,Germany,Thailand,96980352.33,378092612.1
2014,Germany,Argentina,18442343.5,198366985.9
2014,Germany,Rest of the World,23151337777,15683084161
2014,France,Netherlands,1948325207,3204191090
2014,France,Brazil,116535354,1063180523
2014,France,Italy,1967251892,2541410561
2014,France,China,1305790704,192807046.6
2014,France,United Kingdom,4534083884,1640261245
2014,France,Thailand,142258843.8,226026259.5
2014,France,Argentina,14593378.04,118697742.5
2014,France,Rest of the World,16900183353,9298490265
2014,Netherlands,Brazil,211361565.5,2829586663
2014,Netherlands,Italy,1395516738,902352241.3
2014,Netherlands,China,749718813.9,359478385.2
2014,Netherlands,United Kingdom,4057531313,1341862836
2014,Netherlands,Thailand,138922806.5,331426362.2
2014,Netherlands,Argentina,28326238.41,991081872.6
2014,Netherlands,Rest of the World,13103029603,8512805634
2014,Brazil,Italy,200222062.4,148142565.3
2014,Brazil,China,1378535916,123338094.2
2014,Brazil,United Kingdom,503482057.7,163086929.4
2014,Brazil,Thailand,628824943.6,26838430.88
2014,Brazil,Argentina,329874572.6,538172431.5
2014,Brazil,Rest of the World,16292816335,1134952325
2014,Italy,China,306972186.4,83314802.78
2014,Italy,United Kingdom,2788304015,379765222.6
2014,Italy,Thailand,65829259.55,159849410.6
2014,Italy,Argentina,11920068.77,555196885.6
2014,Italy,Rest of the World,11742079876,7025254351
2014,United Kingdom,Thailand,186788627.9,974270795.6
2014,United Kingdom,Argentina,23020470.31,585079641.1
2014,United Kingdom,Rest of the World,12692062146,12892480083
2014,Thailand,Argentina,23693429.04,396512004.8
2014,Thailand,Rest of the World,12910438808,2164322864
2014,Argentina,Rest of the World,12309222108,352425266.8
2014,Rest of the World,Rest of the World,1.40195E+11,1.40195E+11
